i_d,regdate,first_name,last_name,homephone,email_address,street,city,state,zipcode
351,12/19/08,Nate,Endres,rmaiorana@jumpstartlab.com,3109024000,3332 Quesada St.,Nw,Dc,20015
3003,1/30/09,Alison,England,wlutko@jumpstartlab.com,508 404 6000,1673 Columbia Rd. NW Apt. 400,Washington,Dc,20009
1428,1/21/09,Josh,Evarts,bnaci@jumpstartlab.com,301 6545000,"3825 Wisconsin Avenue, NW",Washington,Dc,20016
1469,1/21/09,Jesse,Farrell,iwee@jumpstartlab.com,301 6545000,"3825 Wisconsin Avenue, NW",Washington,Dc,20016
1215,1/20/09,One,Fitzgerald,nplds@jumpstartlab.com,240 645 5000,"3000 Cathedral Ave, NW",Washington,Dc,20008
2586,1/23/09,Amanda,Flanagan,rrnka@jumpstartlab.com,301-312-7000,"3825 Wisconsin Avenue, NW",Washington,Dc,20016
2935,1/29/09,Leslye,Fong,xksonVates@jumpstartlab.com,718.308.8000,"2119 H St NW, Crawford #210",Washington,Dc,20052
480,12/20/08,Dan,Fraissinet,kggoyer@jumpstartlab.com,8504455000,"Box #577150, Georgetown Univ.",Washington,Dc,20057
2630,1/25/09,David,Francom Redstone,el69703@jumpstartlab.com,(360) 790-3000,2223 H St NW,Washington,Dc,20052
868,1/19/09,Lucy,Frick,xcott33@jumpstartlab.com,201-913-4000,"2727 29th Street NW, Apt. 211",Washington,Dc,20008
2848,1/29/09,Melissa,Frys,ab136507@jumpstartlab.com,5418684000,1302 36th St NW,Washington,Dc,20007
2146,1/21/09,Kimberly,Furey,jqayes25@jumpstartlab.com,602.291.3000,"950 24th St, NW, #816",Washington,Dc,20052
4411,2/1/09,Jill,Futterman,dprent08@jumpstartlab.com,503-380-2000,4400 Massachusetts Avenue,Washington,Dc,20016
4570,2/1/09,Lisa,Gallenstein,qas6240@jumpstartlab.com,615-512-7000,4400 Massachusetts Avenue,Washington,Dc,20016
4602,2/1/09,Blaine,Gandi,ptbatebob@jumpstartlab.com,609-713-0000,4400 Massachusetts Avenue,Washington,Dc,20016
2753,1/28/09,Elizabeth,Garlick,vnisha_pavao@jumpstartlab.com,(202) 319-2000,"702 H St NW, Ste 300",Washington,Dc,20001
4594,2/1/09,X,Gasparek,qr8602a@jumpstartlab.com,610-295-4000,4400 Massachusetts Avenue,Washington,Dc,20016
1485,1/21/09,Chelsea,Gaudin,maitenz@jumpstartlab.com,301 6545000,"3825 Wisconsin Avenue, NW",Washington,Dc,20016
4685,2/1/09,Lubaba,Geisinger,pqchellefwebb@jumpstartlab.com,508-254-4000,4400 Massachusetts Avenue,Washington,Dc,20016
4545,2/1/09,Breena,Ghaelian,ugyer20n@jumpstartlab.com,650-303-6000,4400 Massachusetts Avenue,Washington,Dc,20016
2114,1/21/09,Matthew,Gibbs,gxskag08@jumpstartlab.com,202.386.0000,2222 Eye Street,Washington,Dc,20052
4729,2/1/09,Finn,Gloster,end211@jumpstartlab.com,484-653-7000,4400 Massachusetts Avenue,Washington,Dc,20016
1223,1/20/09,Allison,Gracey,fhrlemail1@jumpstartlab.com,240 645 5000,"3000 Cathedral Ave, NW",Washington,Dc,20008
4294,2/1/09,Ellen,Graham,bkorris@jumpstartlab.com,202-657-9000,58 Bryant Street NW,Washington,Dc,20001
4404,2/1/09,Charles,Gray,qdrikyassien@jumpstartlab.com,503-380-2000,4400 Massachusetts Avenue,Washington,Dc,20016
4566,2/1/09,Praween,Green,yswwwwwwwwww@jumpstartlab.com,443-789-4000,4400 Massachusetts Avenue,Washington,Dc,20016
1481,1/21/09,Jane,Green,cmohan3@jumpstartlab.com,301 6545000,"3825 Wisconsin Avenue, NW",Washington,Dc,20016
1406,1/21/09,Erika,Guilbeault,qt336707@jumpstartlab.com,856-309-1000,4400 Massachusetts Ave NW,Washington,Dc,20016
782,1/15/09,Daryl,Gutbrod,tknt.jamie@jumpstartlab.com,2022562000,2941 Chesapeake St NW,Washington,Dc,20008
874,1/19/09,Guy,Halter,rdett.buikema@jumpstartlab.com,707-337-3000,"2727 29th Street NW, Apt. 529",Washington,Dc,20008
2,11/12/08,Sarah,Hankins,pinalevitsky@jumpstartlab.com,414-520-5000,2022 15th Street NW,Washington,Dc,20009
1455,1/21/09,Winslow,Hanson,cvtrohmayer@jumpstartlab.com,301 6545000,"3825 Wisconsin Avenue, NW",Washington,Dc,20016
1687,1/21/09,Julia,Hatcher,uyliott@jumpstartlab.com,551 486 5000,"1804 Kilbourne Pl NW,",Washington,Dc,20010
862,1/19/09,Rachel,Haut,jqisten.greenwald@jumpstartlab.com,845-797-3000,"2727 29th Street NW, Apt. 232",Washington,Dc,20008
1434,1/21/09,Mayrah,Hecht,htcmseac@jumpstartlab.com,301 6545000,"3825 Wisconsin Avenue, NW",Washington,Dc,20016
2679,1/26/09,Rosemary,Hileman,rapsherryx3@jumpstartlab.com,703-389-0000,4110 14th St. NW,Washington,Dc,20011
4880,2/1/09,Emily,Hoepfinger,buifkin@jumpstartlab.com,5408883000,1616 P. street NW suite 340,Washington,Dc,20036
4884,2/1/09,Kyle,Hoyles,kehndoe12@jumpstartlab.com,5408883000,1616 P. street NW suite 340,Washington,Dc,20036
3581,1/31/09,Matthew,Hutton,ydwittig@jumpstartlab.com,8452249000,"512 McCarthy Hall, Georgetown University",Washington,Dc,20057
1488,1/21/09,Jordan,Indvik,mbraele@jumpstartlab.com,301 6545000,"3825 Wisconsin Avenue, NW",Washington,Dc,20016
1250,1/21/09,Megan,J,gwlter@jumpstartlab.com,240 645 5000,"3000 Cathedral Ave, NW",Washington,Dc,20008
2207,1/21/09,Molly,Jackson,ofdaroman@jumpstartlab.com,504-994-7000,"950 24th St, NW, #1108",Washington,Dc,20052
1466,1/21/09,Alexandra,Jenkins,kxnlop316@jumpstartlab.com,301 6545000,"3825 Wisconsin Avenue, NW",Washington,Dc,20016
4859,2/1/09,Amanda,Johnson,vqhndoe@jumpstartlab.com,5408883000,1616 P. street NW suite 340,Washington,Dc,20036
4470,2/1/09,Jorge,Kagan,utrtjp@jumpstartlab.com,410-652-0000,4400 Massachusetts Avenue,Washington,Dc,20016
864,1/19/09,Lucia,Karoluk,wonisegarcia666@jumpstartlab.com,315-750-0000,"2727 29th Street NW, Apt. 305",Washington,Dc,20008
1411,1/21/09,Rachel,Kazyak,lpmberly.upstill07@jumpstartlab.com,717-405-9000,4400 Massachusetts Ave NW,Washington,Dc,20016
1476,1/21/09,Abigail,Keith,qinder.buitelaar@jumpstartlab.com,301 6545000,"3825 Wisconsin Avenue, NW",Washington,Dc,20016
2583,1/23/09,Lauren,Kent,epygrl7@jumpstartlab.com,301-312-7000,"3825 Wisconsin Avenue, NW",Washington,Dc,20016
4486,2/1/09,Sam,Kneidinger,pskiha@jumpstartlab.com,505-563-0000,4400 Massachusetts Avenue,Washington,Dc,20016
4408,2/1/09,Molly,Kraft,qncarter@jumpstartlab.com,6174808000,"2000 N Street, NW",Washington,Dc,20036
4519,2/1/09,Alicia,Krautheim,vnrossm2@jumpstartlab.com,270-282-1000,4400 Massachusetts Avenue,Washington,Dc,20016
577,1/5/09,William,Kristian,xokelly@jumpstartlab.com,603-661-5000,812 Randolph St. NW,Washington,Dc,20011
4702,2/1/09,Ashley,Kubica,pldrew.mariotti@jumpstartlab.com,781-479-6000,4400 Massachusetts Avenue,Washington,Dc,20016
695,1/7/09,Jessie,Kurdyla,etcooke11@jumpstartlab.com,805-907-5000,"2915 Connecticut Avenue, NW Apt. 207",Washington,Dc,20008
751,1/12/09,Sophie,Lade,cpagenkn@jumpstartlab.com,3214804000,2505 13th St. NW,Washington,Dc,20009
4902,2/1/09,Samuel,Lambert-Williams,emapman.elisabeth@jumpstartlab.com,5408883000,1616 P. street NW suite 340,Washington,Dc,20036
4086,2/1/09,Kristen,Lancaster,xuller@jumpstartlab.com,260-460-0000,"1255 New Hampshire Ave NW, Apt 108",Washington,Dc,20036
1248,1/21/09,Sierra,Langone,jbmcwilliams@jumpstartlab.com,240 645 5000,"3000 Cathedral Ave, NW",Washington,Dc,20008
3903,1/31/09,David,Larsson,cwtchell67@jumpstartlab.com,5176554000,1608 Rhode Island Ave NW,Washington,Dc,00000
1431,1/21/09,Grant,Le,xlielke@jumpstartlab.com,301 6545000,"3825 Wisconsin Avenue, NW",Washington,Dc,20016
4336,2/1/09,Miranda,Lee Tan,bbeyward09@jumpstartlab.com,202-546-7000,2531 Q St. NW Apt. 205,Washington,Dc,20007
2579,1/23/09,Elizabeth,Lenhart,xwmmerlek@jumpstartlab.com,301-312-7000,"3825 Wisconsin Avenue, NW",Washington,Dc,20016
752,1/12/09,Lala,Leung,vsmcneal@jumpstartlab.com,5613391000,2505 13th St. NW,Washington,Dc,20009
4872,2/1/09,B,Liakos,urviroaction@jumpstartlab.com,5408883000,1616 P. street NW suite 340,Washington,Dc,20036
4130,2/1/09,Rufio,Light,itristinalouisebell@jumpstartlab.com,4156997000,1608 Rhode Island Ave,Washington dc,Dc,20036
2584,1/23/09,Kim,Lobue,tclpert@jumpstartlab.com,301-312-7000,"3825 Wisconsin Avenue, NW",Washington,Dc,20016
4891,2/1/09,Ralph,Locascio,eey.mehulebrun@jumpstartlab.com,5408883000,1616 P. street NW suite 340,Washington,Dc,20036
1423,1/21/09,Meredith,Lochner,mosheridan@jumpstartlab.com,610-334-0000,4400 Massachusetts Ave NW,Washington,Dc,20016
5072,2/2/09,Bryce,Lupolt,qclese_11@jumpstartlab.com,831-419-7000,"1608 Rhode Island Ave, NW Apt 908",Washington,Dc,20036
4712,2/1/09,Adrienne,Lutch,bmalprin@jumpstartlab.com,610-858-5000,4400 Massachusetts Avenue,Washington,Dc,20016
2587,1/23/09,Rachel,Mack,kjaru@jumpstartlab.com,301-312-7000,"3825 Wisconsin Avenue, NW",Washington,Dc,20016
2578,1/23/09,Allyson,McCole,ixlmeida@jumpstartlab.com,301-312-7000,"3825 Wisconsin Avenue, NW",Washington,Dc,20016
371,12/19/08,Callie,McLaughlin,gdacyjamesrossi2@jumpstartlab.com,202-552-3000,"391 Michigan Ave., NE",Washington,Dc,20017
4439,2/1/09,Holly,McLoughlin,if338@jumpstartlab.com,541-760-8000,4400 Massachusetts Avenue,Washington,Dc,20016
878,1/19/09,Fiona,Mclaren,wyohr@jumpstartlab.com,315-825-5000,"2727 29th Street NW, Apt. 232",Washington,Dc,20008
2639,1/26/09,Kyle,Melas,mbduan08@jumpstartlab.com,3107798000,1409 37th St. NW,Washington,Dc,20007
2537,1/22/09,Roxanna,Mellace,lvarnswo@jumpstartlab.com,773 330 2000,"1723 Webster St, NW",Washington,Dc,00000
1437,1/21/09,Jessica,Mellen,egm118@jumpstartlab.com,301 6545000,"3825 Wisconsin Avenue, NW",Washington,Dc,20016
4533,2/1/09,Ileana,Meyer,slnny.woldorf@jumpstartlab.com,570-982-92000,4400 Massachusetts Avenue,Washington,Dc,20016
1397,1/21/09,Sandy,Mike-Bidtah,sytrm6@jumpstartlab.com,203-687-6000,4400 Massachusetts Ave NW,Washington,Dc,20016
2182,1/21/09,Rachel,Milem,vvurphy3@jumpstartlab.com,330-388-9000,"2021 F Street, NW, #921",Washington,Dc,20052
3981,2/1/09,Stephanie,Miller,put.springer@jumpstartlab.com,202-468-5000,3636 T St. NW,Washington,Dc,20007
369,12/19/08,Sean,Modawal,ufmPalley@jumpstartlab.com,202 232 7000,1718 Connecticut Ave. NW Suite 300,Washington,Dc,20009
4852,2/1/09,Katelyn,Mohammed,vxpl3@jumpstartlab.com,5408883000,1616 P. street NW suite 340,Washington,Dc,20036
4659,2/1/09,Boris,Mostow,rcrdos12@jumpstartlab.com,631-241-5000,4400 Massachusetts Avenue,Washington,Dc,20016
69,12/8/08,Sofia,Murillo,lpohen@jumpstartlab.com,202 319 2000,"702 H St, suite 300",Washington,Dc,20001
370,12/19/08,Michael,Murphy,bxthewsm@jumpstartlab.com,202 232 7000,1718 Connecticut Ave. NW Suite 300,Washington,Dc,20009
2334,1/21/09,Christian,Nelson,vkchel.neuschatz@jumpstartlab.com,201-919-1000,"2031 F Street, NW",Washington,Dc,20052
1,11/12/08,Allison,Nguyen,arannon@jumpstartlab.com,6154385000,3155 19th St NW,Washington,Dc,20010
4843,2/1/09,Aidan,O'Neill,uhham.christie@jumpstartlab.com,5408883000,1616 P. street NW suite 340,Washington,Dc,20036
2934,1/29/09,Nathalie,Oblisk,ryaole@jumpstartlab.com,443.386.6000,"2350 H St NW, New Hall 707",Washington,Dc,20052
1211,1/20/09,Laura,Oh,ball0166@jumpstartlab.com,240 645 5000,"3000 Cathedral Ave, NW",Washington,Dc,20008
2940,1/29/09,Stephen,Oheim,kuack@jumpstartlab.com,410.302.0000,"1900 F St NW, Thurston #418",Washington,Dc,20052
4380,2/1/09,Kelly,Oldershaw,rlandros@jumpstartlab.com,5177127000,"Harbin 726, Georgetown University",Washington,Dc,20057
361,12/19/08,Aurora,Ortega,yfr42@jumpstartlab.com,202 554 3000,520 N St SW,Washington,Dc,20024
1448,1/21/09,Natalie,Otukoya,kq454969@jumpstartlab.com,301 6545000,"3825 Wisconsin Avenue, NW",Washington,Dc,20016
4636,2/1/09,Winter,Parvaz,knllyhorak@jumpstartlab.com,817-874-7000,4400 Massachusetts Avenue,Washington,Dc,20016
1203,1/20/09,Jen,Peavler,wyate2@jumpstartlab.com,240 645 5000,"3000 Cathedral Avenue, NW",Washington,Dc,20008
4670,2/1/09,Astrid,Peffier,alcoolfool@jumpstartlab.com,401-578-8000,4400 Massachusetts Avenue,Washington,Dc,20016
5066,2/2/09,Abby,Peterson,jweise@jumpstartlab.com,323-687-0000,"1608 Rhode Island Ave, NW",Washington,Dc,20036
2932,1/29/09,Ansally,Pfeiffer,pltanich@jumpstartlab.com,908.307.4000,"2124 Eye St NW, West End #506",Washington,Dc,20052
4649,2/1/09,Laura,Phillips,xgarotzky@jumpstartlab.com,603-562-8000,1217 Franklin St NE,Washington,Dc,20017
4938,2/1/09,Tom,Pomeroy,gkackwella2@jumpstartlab.com,5408883000,1616 P Street NW Suite 340,Washington,Dc,20036
4813,2/1/09,Nicole,Porter,iqryars11@jumpstartlab.com,510-508-0000,1608 Rhode Island Ave. NW #708,Washington,Dc,20036
4514,2/1/09,Teen,Powers,ren@jumpstartlab.com,570-982-92000,4400 Massachusetts Avenue,Washington,Dc,20016
4422,2/1/09,Dominique,Rasmussen,gaffey@jumpstartlab.com,859-948-5000,4400 Massachusetts Avenue,Washington,Dc,20016
2716,1/27/09,Sasha,Reilly,faomas.Berlangera@jumpstartlab.com,706-832-2000,1928 38th ST NW,Washington,Dc,20007
4847,2/1/09,K,Rempel,ry5309a@jumpstartlab.com,5408883000,1616 P. street NW suite 340,Washington,Dc,20036
4049,2/1/09,Cara,Roe,ijurf@jumpstartlab.com,6175296000,"736 22nd St NW, Room 706",Washington,Dc,20052
2582,1/23/09,Lucia,Rojas,hlujaeagles@jumpstartlab.com,301-312-7000,"3825 Wisconsin Avenue, NW",Washington,Dc,20016
372,12/19/08,Eva,Rotman,cgngo8456@jumpstartlab.com,202-756-4000,PO Box 29132,Washington,Dc,20017
5162,2/2/09,Anika,Roux,clanessaj@jumpstartlab.com,773-569-2000,215 Pennsylvania Ave. SE 3rd FL,Washington,Dc,20003
2585,1/23/09,Paula,Rowe,ggbin.averbeck@jumpstartlab.com,301-312-7000,"3825 Wisconsin Avenue, NW",Washington,Dc,20016
5069,2/2/09,Michelle,Rudderman,fwchtywr@jumpstartlab.com,8473478000,Georgetown University Kennedy K-227,Washington,Dc,20057
5175,2/2/09,Greg,SAUNDERS,jyukhov@jumpstartlab.com,240 645 5000,"3000 Cathedral Ave, NW",Washington,Dc,20008
363,12/19/08,Lee,Sachs,bwd6273@jumpstartlab.com,202-635-2000,1225 Otis St NE,Washington,Dc,20017
3491,1/31/09,Molly,Saretzky,vcsh7444@jumpstartlab.com,202-386-2000,"2022 15th Street, NW",Washington,Dc,20009
2200,1/21/09,Cress,Schafer,sodolgin@jumpstartlab.com,#######000,"620 21st Street, NW",Washington,Dc,20052
5068,2/2/09,Kate,Scholnick,xrvanals@jumpstartlab.com,323-687-0000,"1608 Rhode Island Ave, NW",Washington,Dc,20036
4064,2/1/09,Jamie,Schreck,jdeley11@jumpstartlab.com,3303042000,1515 3rd St. NW,Washington,Dc,20001
4465,2/1/09,Dan,Schwaller,tfpomeroy@jumpstartlab.com,415-847-0000,4400 Massachusetts Avenue,Washington,Dc,20016
4524,2/1/09,Troy,Seithers,vtottc@jumpstartlab.com,717-669-3000,4400 Massachusetts Avenue,Washington,Dc,20016
1419,1/21/09,Madeline,Shamel,wq1luv@jumpstartlab.com,301 6545000,"3825 Wisconsin Avenue, NW",Washington,Dc,20016
4509,2/1/09,Ryan,Shearer,hollins.756@jumpstartlab.com,626.290.6000,901 6th St. SW Apt 414A,Washington,Dc,20024
4477,2/1/09,Perry,Shillingford,sryers@jumpstartlab.com,978-855-8000,4400 Massachusetts Avenue,Washington,Dc,20016
1462,1/21/09,Meagan,Siegel,ifhirih.alia@jumpstartlab.com,301 6545000,"3825 Wisconsin Avenue, NW",Washington,Dc,20016
3951,1/31/09,Kimberly,Sikes,er00168456@jumpstartlab.com,202-256-1000,3626 T St,Washington,Dc,20007
1418,1/21/09,Jennifer,Silva,qpfox@jumpstartlab.com,202-457-7000,4400 Massachusetts Ave NW,Washington,Dc,20016
2938,1/29/09,Anita,Singh,xjlomo68@jumpstartlab.com,440-725-9000,"1900 F St NW, Thurston #221",Washington,Dc,20052
4835,2/1/09,Nicole,Six,un404607@jumpstartlab.com,5408883000,1616 P. street NW suite 340,Washington,Dc,20036
4116,2/1/09,Kasey,Smith,yochellejcoker@jumpstartlab.com,(202) 588-0000,1727 Massachusetts Ave NW,Washington,Dc,20036
2581,1/23/09,Einer,Sorenson,sxafcook@jumpstartlab.com,301-312-7000,"3825 Wisconsin Avenue, NW",Washington,Dc,20016
5157,2/2/09,Simone,Sosin,kferriam@jumpstartlab.com,202 481 8000,1333 H St. NW 1st Floor,Washington,Dc,20005
1252,1/21/09,Adam,Starodaj,fkorterfield@jumpstartlab.com,240 645 5000,"3000 Cathedral Ave, NW",Washington,Dc,20008
1478,1/21/09,Kayla,Stevens,vda2@jumpstartlab.com,301 6545000,"3825 Wisconsin Avenue, NW",Washington,Dc,20016
359,12/19/08,Melanie,Stevenson,jebergma@jumpstartlab.com,202-270-3000,3646 Warder St. NW,Washington,Dc,20010
869,1/19/09,Alan,Stoneking,euizabethlev@jumpstartlab.com,646-258-2000,"2727 29th Street NW, Apt. 529",Washington,Dc,20008
4611,2/1/09,Connie,Swartwood,btndguage@jumpstartlab.com,516-996-7000,4400 Massachusetts Avenue,Washington,Dc,20016
478,12/20/08,Donna,Taylor,hmisJohnsonPS@jumpstartlab.com,215-715-0000,1409 37th St NW,Washington,Dc,20007
